RSK_ELMN_NM,RSK_ELMN_GRD,RN_1HR,AIRTP,LOT,LAT,LOTNO_ADDR,ROAD_NM_ADDR
SF20313,L,3,-1,127.6342301603,37.162221246,경기 여주시 점동면 원부리 494-32,
SF20313,L,3,-1,127.6627400929,37.168764936,경기 여주시 점동면 성신리 186-5,
SF20313,L,3,-1,127.6972263448,37.197287853,경기 여주시 점동면 사곡리 416,
SF20313,L,3,-1,127.718353164,37.2022550685,경기 여주시 점동면 장안리 685-52,
SF20313,L,3,-1,127.5346087016,37.3360948115,경기 여주시 흥천면 다대리 623-1,
SF20313,L,3,-1,127.535295635,37.3329962845,경기 여주시 흥천면 다대리 224-42,
SF20313,L,3,-1,127.4807953871,37.37739117,경기 여주시 금사면 도곡리 580-13,
SF20313,L,4,-1,127.5699031161,37.347855293,경기 여주시 세종대왕면 내양리 350-11,
SF20313,L,3,-1,127.5410685399,37.401991228,경기 여주시 대신면 천서리 755,
SF20313,L,3,-1,127.5529146149,37.3816728375,경기 여주시 대신면 양촌리 441,
SF20313,L,3,-2,127.6823851855,37.3996177455,경기 여주시 북내면 주암리 145-11,
SF20313,L,3,-2,127.7134971056,37.3991074235,경기 여주시 북내면 서원리 산 7-3,
SF20313,L,3,-2,127.721895229,37.357205272,경기 여주시 북내면 중암리 200-6,
SF20313,L,3,-1,127.7222855688,37.2675728015,경기 여주시 강천면 간매리 산 99-1,
SF20313,L,3,-1,127.6833346175,37.2546882865,경기 여주시 강천면 적금리 601,
SF20313,L,3,-1,127.7394775326,37.306558901,경기 여주시 강천면 부평리 5-8,
SF20313,L,3,-1,127.736331992,37.273002194,경기 여주시 강천면 부평리 400,
SF20313,L,4,-2,127.7045286286,37.0359316635,충북 충주시 노은면 안락리 산 74-1,
SF20313,L,4,-2,127.7226275234,37.074870336,충북 충주시 노은면 가신리 산 79-9,
SF20313,L,3,-1,127.9756664255,37.1157176155,충북 충주시 산척면 송강리 766-33,
SF20313,L,3,-1,128.0190314537,37.070939243,충북 충주시 산척면 명서리 951-1,
SF20313,L,4,-1,127.9084938776,37.1471569995,충북 충주시 엄정면 원곡리 523-1,
SF20313,L,4,-1,127.9128487826,37.1621604835,충북 충주시 엄정면 유봉리 581-2,
SF20313,L,5,-1,127.4346187928,36.987650747,충북 진천군 광혜원면 광혜원리 산 25-154,
SF20313,L,3,-1,127.6163753562,36.996255256,충북 음성군 금왕읍 육령리 산 108-4,
SF20313,L,4,-2,127.8574499575,37.244481297,강원특별자치도 원주시 문막읍 비두리 385-4,
SF20313,L,4,-2,127.7621380367,37.2776846455,강원특별자치도 원주시 문막읍 대둔리 산 19-7,
SF20313,L,3,-1,127.8081035817,37.220139576,강원특별자치도 원주시 부론면 손곡리 414-1,
SF20313,L,3,-1,127.9013578332,37.310454913,강원특별자치도 원주시 흥업면 흥업리 산 77-1,
SF20313,L,3,-1,127.9025776555,37.263345729,강원특별자치도 원주시 흥업면 매지리 1663,
SF20313,L,3,-1,127.8980523847,37.2472306255,강원특별자치도 원주시 흥업면 매지리 산 138-12,
SF20313,L,3,-1,127.8803856645,37.3408367844,강원특별자치도 원주시 흥업면 사제리 1456-2,
SF20313,L,3,-1,127.8810456273,37.3415447889,강원특별자치도 원주시 흥업면 사제리 1334,
SF20313,L,3,-1,127.8732150816,37.2623549975,강원특별자치도 원주시 흥업면 대안리 산 195-2,
SF20313,L,3,-1,127.8822527403,37.2879987365,강원특별자치도 원주시 흥업면 대안리 1200-1,
SF20313,L,3,-1,127.8956255092,37.2956431565,강원특별자치도 원주시 흥업면 대안리 183-1,
SF20313,L,4,-1,128.0187172686,37.2708472177,강원특별자치도 원주시 판부면 금대리 467-7,
SF20313,L,3,-1,128.0551259329,37.2506491155,강원특별자치도 원주시 신림면 금창리 915-1,
SF20313,L,3,-1,128.0436774124,37.2093186315,강원특별자치도 원주시 신림면 구학리 산 96-2,
SF20313,L,3,-1,128.1146743427,37.251987945,강원특별자치도 원주시 신림면 성남리 산 32-3,
SF20313,L,3,-1,126.9017320622,37.57635584,서울 은평구 수색동 46-40,
SF20313,L,3,-1,126.8865975839,37.5627986543,서울 마포구 상암동 487-92,
SF20313,L,3,-1,128.0043263076,37.4250018845,강원특별자치도 원주시 소초면 평장리 958-2,
SF20313,L,3,-1,127.9707540558,37.415169221,강원특별자치도 원주시 소초면 장양리 150,
SF20313,L,3,-1,127.9648057733,37.4015659575,강원특별자치도 원주시 소초면 장양리 548-4,
SF20313,L,3,-1,127.998654243,37.371418233,강원특별자치도 원주시 소초면 흥양리 1029-1,
SF20313,L,3,-1,128.0126019762,37.4374773557,강원특별자치도 원주시 소초면 교항리 산 287-4,
SF20313,L,3,-1,127.9900316019,37.444875912,강원특별자치도 원주시 소초면 둔둔리 71-1,
SF20313,L,3,-1,128.015465578,37.5060698175,강원특별자치도 횡성군 횡성읍 개전리 466-5,
SF20313,L,3,-1,128.0082271536,37.5000167015,강원특별자치도 횡성군 횡성읍 개전리 316-1,
SF20313,L,3,-1,126.4517914801,35.1306937008,전남 함평군 손불면 산남리 산 80-2,
SF20313,L,3,-1,127.4732774338,35.602599749,전북 장수군 장수읍 식천리 산 177-23,
SF20313,L,3,-1,127.6042808246,36.980214402,충북 음성군 금왕읍 용계리 산 2-11,
SF20313,L,3,-1,127.5887207805,36.9783485016,충북 음성군 금왕읍 용계리 333-4,
SF20313,L,3,-1,127.5824097257,37.0026190247,충북 음성군 금왕읍 각회리 44-1,
SF20313,L,5,-1,127.4751237581,37.0499564355,충북 음성군 삼성면 대사리 321-4,
SF20313,L,3,-1,127.9485291094,37.3760578825,강원특별자치도 원주시 태장동 1342-3,
SF20313,L,3,-1,127.9729349628,37.3137902987,강원특별자치도 원주시 관설동 1319-1,강원 원주시 치악로 1422
SF20313,L,4,-2,127.8342760564,37.3367536405,강원특별자치도 원주시 문막읍 동화리 1545-12,
SF20313,L,4,-2,127.8273187569,37.2286485865,강원특별자치도 원주시 문막읍 비두리 산 242-7,
SF20313,L,3,-1,126.640577618,35.090887086,전남 나주시 문평면 계로리 562-6,
SF20313,L,3,-1,127.3240812649,37.2040999895,경기 용인시 처인구 원삼면 좌항리 93-5,
SF20313,L,3,-1,127.3374659958,37.1511771375,경기 용인시 처인구 원삼면 두창리 산 107-6,
SF20313,L,3,-1,127.3543415631,37.150026394,경기 용인시 처인구 원삼면 두창리 산 2-6,
SF20313,L,3,-1,127.3050812977,37.1608039665,경기 용인시 처인구 원삼면 독성리 산 147-4,
SF20313,L,3,-1,127.3160173915,37.13826142,경기 용인시 처인구 원삼면 죽능리 299-1,
SF20313,L,3,-1,127.2792014995,37.1550155916,경기 용인시 처인구 원삼면 학일리 산 94-1,
SF20313,L,5,-1,127.6218206922,37.11618481,경기 이천시 장호원읍 장호원리 256-5,
SF20313,L,3,-1,127.4394112129,37.1559338065,경기 이천시 모가면 두미리 396,
SF20313,L,4,-1,127.0298133991,37.208932169,경기 화성시 진안동 832-67,
SF20313,L,4,-1,127.0454735715,37.230974468,경기 화성시 반월동 311-85,
SF20313,L,4,-1,127.9401083709,36.975640711,충북 충주시 교현동 453-4,
SF20313,L,4,-1,127.9433368475,36.9727438865,충북 충주시 교현동 158-12,
SF20313,L,3,-2,127.947173175,36.9601681855,충북 충주시 용산동 1849-4,
SF20313,L,3,-2,127.936629428,36.9648512105,충북 충주시 용산동 309,
SF20313,L,3,-2,127.9390094753,36.9509796175,충북 충주시 호암동 산 20-27,
SF20313,L,3,-2,127.9277706017,36.959123135,충북 충주시 호암동 526-8,
SF20313,L,4,-1,127.9063958783,36.984845632,충북 충주시 칠금동 513-1,
SF20313,L,3,-2,127.9159200806,37.0073322265,충북 충주시 목행동 867-14,
SF20313,L,3,-2,127.9311689833,36.964355386,충북 충주시 지현동 904,
SF20313,L,3,-2,127.9290846273,36.964815556,충북 충주시 지현동 995,
SF20313,L,4,-1,127.9157690511,36.9699878295,충북 충주시 문화동 257,
SF20313,L,3,-1,127.772584596,37.023262492,충북 충주시 주덕읍 덕련리 산 25-2,
SF20313,L,3,-2,127.7004119045,37.0227530135,충북 충주시 신니면 문숭리 652-1,
SF20313,L,5,-2,127.7400379144,37.1271148545,충북 충주시 앙성면 용포리 495,
SF20313,L,5,-2,127.7356535005,37.1956118195,충북 충주시 앙성면 단암리 산 13,
SF20313,L,5,-2,127.7513928545,37.0826666305,충북 충주시 앙성면 용대리 산 53-5,
SF20313,L,5,-2,127.7459970754,37.1030471924,충북 충주시 앙성면 용대리 산 42-16,
SF20313,L,3,-1,127.238604945,37.0130033825,경기 안성시 대덕면 건지리 325-5,
SF20313,L,3,-1,127.2392551874,37.0021150545,경기 안성시 대덕면 내리 756-3,
SF20313,L,3,-2,127.9678236196,36.9002077212,충북 충주시 살미면 세성리 산 3-12,충청북도 충주시 살미면 세성로 96
SF20313,L,3,-2,127.9531916449,36.9073779578,충북 충주시 살미면 세성리 산 18-3,충청북도 충주시 주덕읍 중원대로 2488 세성대학찰옥수수작목반
SF20313,L,3,-2,127.9313313204,36.9268834268,충북 충주시 살미면 향산리 산 21-6,충청북도 충주시 살미면 팔봉향산길 501
SF20313,L,5,-2,127.8135983377,37.104074226,충북 충주시 앙성면 조천리 421,
SF20313,L,3,-2,127.8393870936,37.0539750145,충북 충주시 중앙탑면 봉황리 산 10-17,
SF20313,L,3,-2,127.8460636018,37.0429999655,충북 충주시 중앙탑면 하구암리 757,
SF20313,L,3,-2,127.9714570727,37.052015634,충북 충주시 동량면 조동리 산 22-1,
SF20313,L,3,-2,128.0277451381,37.0171341605,충북 충주시 동량면 손동리 산 98,
SF20313,L,3,-2,127.9219923125,37.021445818,충북 충주시 동량면 용교리 878,
SF20313,L,3,-2,127.9501008136,36.8974766605,충북 충주시 살미면 문강리 329-4,
SF20313,L,3,-2,127.9319971358,36.8938087815,충북 충주시 살미면 토계리 29-2,
SF20313,L,3,-2,127.9214447336,36.899294439,충북 충주시 살미면 토계리 417-6,
SF20313,L,4,-1,127.8171827849,36.9557279495,충북 충주시 대소원면 금곡리 290-1,
SF20313,L,4,-1,127.8655346364,36.903830094,충북 충주시 대소원면 매현리 626-1,
SF20313,L,3,-1,128.0878107132,36.8625763555,충북 제천시 한수면 송계리 106-1,
SF20313,L,3,-1,128.0825426138,36.8781094225,충북 제천시 한수면 송계리 177-5,
SF20313,L,3,-1,128.0941930318,36.8423174405,충북 제천시 한수면 송계리 1141,
SF20313,L,3,-1,127.3218142546,36.9320725395,충북 진천군 백곡면 양백리 437-5,
SF20313,L,3,-1,127.3353155787,36.8888070485,충북 진천군 백곡면 구수리 612,
SF20313,L,3,-3,128.3399837476,36.9279249232,충북 단양군 단성면 북상리 158-2,
SF20313,L,3,-3,128.2821989026,36.925454964,충북 단양군 단성면 외중방리 산 58-7,
SF20313,L,3,-3,128.281425981,36.9283981758,충북 단양군 단성면 장회리 산 1-9,
SF20311,E,.5,2,128.1629202039,34.9857716525,경남 고성군 하이면 봉원리 산 8-2,경상남도 고성군 하이면 삼상로 1192-17
SF20313,L,3,-2,127.1135875373,36.3164599615,충남 논산시 노성면 구암리 74-9,
SF20311,F,.5,2,129.0313334545,35.5952376233,울산 울주군 상북면 덕현리 산 246-2,울산광역시 울주군 상북면 석남로 300-65
SF20311,F,.5,2,129.0403095594,35.6361282676,울산 울주군 상북면 덕현리 산 71-1,울산광역시 울주군 상북면 운문로 492
SF20313,L,4,-1,127.345383642,35.933358011,전북 완주군 동상면 신월리 산 56-15,
SF20313,L,4,-1,127.263656162,35.912111327,전북 완주군 동상면 수만리 산 52,
SF20313,L,3,-1,128.2371386019,37.014610511,충북 제천시 청풍면 학현리 111-3,
SF20313,L,5,-1,127.6835836912,37.0495975035,충북 음성군 감곡면 월정리 산 76-3,
SF20313,L,3,-2,128.2906196785,36.973304358,충북 단양군 적성면 상리 159,
SF20313,L,3,-2,128.2869330673,36.9810905335,충북 단양군 적성면 기동리 산 53-1,
SF20313,L,3,-2,128.292182267,36.9968221655,충북 단양군 적성면 기동리 398-2,
SF20313,L,3,-2,128.239267456,37.043794761,충북 단양군 적성면 상원곡리 산 81-2,
SF20313,L,3,-1,126.4506636224,37.7101150625,인천 강화군 불은면 삼성리 383-21,
SF20313,L,3,-1,126.5210083348,37.647407347,인천 강화군 불은면 덕성리 435-1,
SF20313,L,3,-1,126.5229011817,37.658443902,인천 강화군 불은면 덕성리 281-1,
